"period_from","period_to","code","visitors","country_name","country_id"
2021-01-01 23:00:00,2021-01-02 22:59:59,NA,NA,NA,NA
2020-12-31 23:00:00,2021-01-01 22:59:59,"RU",18,"Russia",1
2020-12-31 23:00:00,2021-01-01 22:59:59,"NL",1,"Netherlands",139
2020-12-31 23:00:00,2021-01-01 22:59:59,"DE",1,"Germany",65
2020-12-31 23:00:00,2021-01-01 22:59:59,"MD",1,"Moldova",15
2020-12-31 23:00:00,2021-01-01 22:59:59,"UA",1,"Ukraine",2
2020-12-30 23:00:00,2020-12-31 22:59:59,"RU",15,"Russia",1
2020-12-30 23:00:00,2020-12-31 22:59:59,"BR",1,"Brazil",43
2020-12-30 23:00:00,2020-12-31 22:59:59,"BY",1,"Belarus",3
2020-12-30 23:00:00,2020-12-31 22:59:59,"MX",1,"Mexico",126
2020-12-29 23:00:00,2020-12-30 22:59:59,"RU",24,"Russia",1
2020-12-29 23:00:00,2020-12-30 22:59:59,"BY",2,"Belarus",3
2020-12-29 23:00:00,2020-12-30 22:59:59,"GB",1,"United Kingdom",49
2020-12-29 23:00:00,2020-12-30 22:59:59,"BR",1,"Brazil",43
2020-12-28 23:00:00,2020-12-29 22:59:59,"RU",65,"Russia",1
2020-12-28 23:00:00,2020-12-29 22:59:59,"BY",5,"Belarus",3
2020-12-28 23:00:00,2020-12-29 22:59:59,"UA",2,"Ukraine",2
2020-12-28 23:00:00,2020-12-29 22:59:59,"KZ",2,"Kazakhstan",4
2020-12-28 23:00:00,2020-12-29 22:59:59,"IL",1,"Israel",8
2020-12-28 23:00:00,2020-12-29 22:59:59,"ES",1,"Spain",87
2020-12-28 23:00:00,2020-12-29 22:59:59,"CH",1,"Switzerland",217
2020-12-28 23:00:00,2020-12-29 22:59:59,"UZ",1,"Uzbekistan",18
2020-12-28 23:00:00,2020-12-29 22:59:59,"DE",1,"Germany",65
2020-12-28 23:00:00,2020-12-29 22:59:59,"TR",1,"Turkey",200
2020-12-28 23:00:00,2020-12-29 22:59:59,"BR",1,"Brazil",43
2020-12-27 23:00:00,2020-12-28 22:59:59,"RU",172,"Russia",1
2020-12-27 23:00:00,2020-12-28 22:59:59,"UA",9,"Ukraine",2
2020-12-27 23:00:00,2020-12-28 22:59:59,"BY",7,"Belarus",3
2020-12-27 23:00:00,2020-12-28 22:59:59,"TR",2,"Turkey",200
2020-12-27 23:00:00,2020-12-28 22:59:59,"DE",2,"Germany",65
2020-12-27 23:00:00,2020-12-28 22:59:59,"PL",2,"Poland",160
2020-12-27 23:00:00,2020-12-28 22:59:59,"ES",2,"Spain",87
2020-12-27 23:00:00,2020-12-28 22:59:59,"BR",2,"Brazil",43
2020-12-27 23:00:00,2020-12-28 22:59:59,"IL",1,"Israel",8
2020-12-27 23:00:00,2020-12-28 22:59:59,"GE",1,"Georgia",7
2020-12-27 23:00:00,2020-12-28 22:59:59,"NL",1,"Netherlands",139
2020-12-27 23:00:00,2020-12-28 22:59:59,"GB",1,"United Kingdom",49
2020-12-27 23:00:00,2020-12-28 22:59:59,"AM",1,"Armenia",6
2020-12-27 23:00:00,2020-12-28 22:59:59,"AZ",1,"Azerbaijan",5
2020-12-26 23:00:00,2020-12-27 22:59:59,"RU",113,"Russia",1
2020-12-26 23:00:00,2020-12-27 22:59:59,"BY",4,"Belarus",3
2020-12-26 23:00:00,2020-12-27 22:59:59,"UA",4,"Ukraine",2
