"period_from","period_to","gender","age","visitors"
2021-01-01 23:00:00,2021-01-02 22:59:59,NA,NA,NA
2020-12-31 23:00:00,2021-01-01 22:59:59,"f","12-18",2
2020-12-31 23:00:00,2021-01-01 22:59:59,"f","21-24",3
2020-12-31 23:00:00,2021-01-01 22:59:59,"f","24-27",5
2020-12-31 23:00:00,2021-01-01 22:59:59,"f","27-30",1
2020-12-31 23:00:00,2021-01-01 22:59:59,"f","30-35",1
2020-12-31 23:00:00,2021-01-01 22:59:59,"f","35-45",1
2020-12-31 23:00:00,2021-01-01 22:59:59,"m","18-21",2
2020-12-31 23:00:00,2021-01-01 22:59:59,"m","21-24",3
2020-12-31 23:00:00,2021-01-01 22:59:59,"m","30-35",1
2020-12-31 23:00:00,2021-01-01 22:59:59,"m","35-45",1
2020-12-30 23:00:00,2020-12-31 22:59:59,"f","18-21",2
2020-12-30 23:00:00,2020-12-31 22:59:59,"f","24-27",3
2020-12-30 23:00:00,2020-12-31 22:59:59,"f","27-30",2
2020-12-30 23:00:00,2020-12-31 22:59:59,"f","35-45",2
2020-12-30 23:00:00,2020-12-31 22:59:59,"f","45-100",1
2020-12-30 23:00:00,2020-12-31 22:59:59,"m","27-30",2
2020-12-30 23:00:00,2020-12-31 22:59:59,"m","30-35",2
2020-12-30 23:00:00,2020-12-31 22:59:59,"m","35-45",1
2020-12-30 23:00:00,2020-12-31 22:59:59,"m","45-100",2
2020-12-29 23:00:00,2020-12-30 22:59:59,"f","12-18",1
2020-12-29 23:00:00,2020-12-30 22:59:59,"f","18-21",1
2020-12-29 23:00:00,2020-12-30 22:59:59,"f","21-24",5
2020-12-29 23:00:00,2020-12-30 22:59:59,"f","24-27",5
2020-12-29 23:00:00,2020-12-30 22:59:59,"f","27-30",2
2020-12-29 23:00:00,2020-12-30 22:59:59,"m","12-18",1
2020-12-29 23:00:00,2020-12-30 22:59:59,"m","18-21",1
2020-12-29 23:00:00,2020-12-30 22:59:59,"m","21-24",2
2020-12-29 23:00:00,2020-12-30 22:59:59,"m","24-27",2
2020-12-29 23:00:00,2020-12-30 22:59:59,"m","27-30",1
2020-12-29 23:00:00,2020-12-30 22:59:59,"m","30-35",4
2020-12-29 23:00:00,2020-12-30 22:59:59,"m","45-100",1
2020-12-28 23:00:00,2020-12-29 22:59:59,"f","12-18",1
2020-12-28 23:00:00,2020-12-29 22:59:59,"f","18-21",2
2020-12-28 23:00:00,2020-12-29 22:59:59,"f","21-24",9
2020-12-28 23:00:00,2020-12-29 22:59:59,"f","24-27",5
2020-12-28 23:00:00,2020-12-29 22:59:59,"f","27-30",3
2020-12-28 23:00:00,2020-12-29 22:59:59,"f","30-35",7
2020-12-28 23:00:00,2020-12-29 22:59:59,"f","45-100",2
2020-12-28 23:00:00,2020-12-29 22:59:59,"m","12-18",1
2020-12-28 23:00:00,2020-12-29 22:59:59,"m","21-24",5
2020-12-28 23:00:00,2020-12-29 22:59:59,"m","24-27",4
2020-12-28 23:00:00,2020-12-29 22:59:59,"m","27-30",14
2020-12-28 23:00:00,2020-12-29 22:59:59,"m","30-35",5
2020-12-28 23:00:00,2020-12-29 22:59:59,"m","35-45",6
2020-12-28 23:00:00,2020-12-29 22:59:59,"m","45-100",5
2020-12-27 23:00:00,2020-12-28 22:59:59,"f","12-18",1
2020-12-27 23:00:00,2020-12-28 22:59:59,"f","18-21",7
2020-12-27 23:00:00,2020-12-28 22:59:59,"f","21-24",23
2020-12-27 23:00:00,2020-12-28 22:59:59,"f","24-27",22
2020-12-27 23:00:00,2020-12-28 22:59:59,"f","27-30",12
2020-12-27 23:00:00,2020-12-28 22:59:59,"f","30-35",14
2020-12-27 23:00:00,2020-12-28 22:59:59,"f","35-45",4
2020-12-27 23:00:00,2020-12-28 22:59:59,"f","45-100",3
2020-12-27 23:00:00,2020-12-28 22:59:59,"m","12-18",2
2020-12-27 23:00:00,2020-12-28 22:59:59,"m","18-21",8
2020-12-27 23:00:00,2020-12-28 22:59:59,"m","21-24",13
2020-12-27 23:00:00,2020-12-28 22:59:59,"m","24-27",14
2020-12-27 23:00:00,2020-12-28 22:59:59,"m","27-30",25
2020-12-27 23:00:00,2020-12-28 22:59:59,"m","30-35",14
2020-12-27 23:00:00,2020-12-28 22:59:59,"m","35-45",13
2020-12-27 23:00:00,2020-12-28 22:59:59,"m","45-100",7
2020-12-26 23:00:00,2020-12-27 22:59:59,"f","12-18",2
2020-12-26 23:00:00,2020-12-27 22:59:59,"f","18-21",3
2020-12-26 23:00:00,2020-12-27 22:59:59,"f","21-24",11
2020-12-26 23:00:00,2020-12-27 22:59:59,"f","24-27",11
2020-12-26 23:00:00,2020-12-27 22:59:59,"f","27-30",7
2020-12-26 23:00:00,2020-12-27 22:59:59,"f","30-35",11
2020-12-26 23:00:00,2020-12-27 22:59:59,"f","35-45",6
2020-12-26 23:00:00,2020-12-27 22:59:59,"f","45-100",2
2020-12-26 23:00:00,2020-12-27 22:59:59,"m","12-18",3
2020-12-26 23:00:00,2020-12-27 22:59:59,"m","18-21",2
2020-12-26 23:00:00,2020-12-27 22:59:59,"m","21-24",12
2020-12-26 23:00:00,2020-12-27 22:59:59,"m","24-27",11
2020-12-26 23:00:00,2020-12-27 22:59:59,"m","27-30",11
2020-12-26 23:00:00,2020-12-27 22:59:59,"m","30-35",13
2020-12-26 23:00:00,2020-12-27 22:59:59,"m","35-45",10
2020-12-26 23:00:00,2020-12-27 22:59:59,"m","45-100",6
2020-12-25 23:00:00,2020-12-26 22:59:59,"f","12-18",4
2020-12-25 23:00:00,2020-12-26 22:59:59,"f","18-21",5
2020-12-25 23:00:00,2020-12-26 22:59:59,"f","21-24",6
2020-12-25 23:00:00,2020-12-26 22:59:59,"f","24-27",16
2020-12-25 23:00:00,2020-12-26 22:59:59,"f","27-30",12
2020-12-25 23:00:00,2020-12-26 22:59:59,"f","30-35",7
2020-12-25 23:00:00,2020-12-26 22:59:59,"f","35-45",3
2020-12-25 23:00:00,2020-12-26 22:59:59,"f","45-100",3
2020-12-25 23:00:00,2020-12-26 22:59:59,"m","12-18",1
2020-12-25 23:00:00,2020-12-26 22:59:59,"m","18-21",5
2020-12-25 23:00:00,2020-12-26 22:59:59,"m","21-24",10
2020-12-25 23:00:00,2020-12-26 22:59:59,"m","24-27",10
2020-12-25 23:00:00,2020-12-26 22:59:59,"m","27-30",11
2020-12-25 23:00:00,2020-12-26 22:59:59,"m","30-35",16
2020-12-25 23:00:00,2020-12-26 22:59:59,"m","35-45",9
2020-12-25 23:00:00,2020-12-26 22:59:59,"m","45-100",7
2020-12-24 23:00:00,2020-12-25 22:59:59,"f","12-18",2
2020-12-24 23:00:00,2020-12-25 22:59:59,"f","18-21",1
2020-12-24 23:00:00,2020-12-25 22:59:59,"f","21-24",2
2020-12-24 23:00:00,2020-12-25 22:59:59,"f","24-27",4
2020-12-24 23:00:00,2020-12-25 22:59:59,"f","27-30",3
2020-12-24 23:00:00,2020-12-25 22:59:59,"f","35-45",1
2020-12-24 23:00:00,2020-12-25 22:59:59,"m","21-24",2
