"period_from","period_to","mobile_reach","reach","reach_subscribers","mobile_views","views","visitors","subscribed","unsubscribed","likes","copies","hidden","comments"
2021-01-01 23:00:00,2021-01-02 22:59:59,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31 23:00:00,2021-01-01 22:59:59,16,22,4,10,15,13,2,1,0,0,0,0
2020-12-30 23:00:00,2020-12-31 22:59:59,13,18,5,9,12,9,2,2,0,0,0,0
2020-12-29 23:00:00,2020-12-30 22:59:59,19,28,9,16,30,22,3,2,0,0,0,0
2020-12-28 23:00:00,2020-12-29 22:59:59,67,81,59,13,15,12,2,0,0,0,0,0
2020-12-27 23:00:00,2020-12-28 22:59:59,149,204,186,10,15,13,2,1,3,0,0,0
2020-12-26 23:00:00,2020-12-27 22:59:59,102,135,107,10,17,17,2,1,0,0,0,0
2020-12-25 23:00:00,2020-12-26 22:59:59,90,135,115,7,22,16,0,0,1,0,0,0
2020-12-24 23:00:00,2020-12-25 22:59:59,15,24,7,9,14,11,3,0,0,0,0,0
2020-12-23 23:00:00,2020-12-24 22:59:59,15,18,1,3,7,7,1,0,0,0,0,0
2020-12-22 23:00:00,2020-12-23 22:59:59,21,30,6,8,17,12,3,1,1,1,0,0
2020-12-21 23:00:00,2020-12-22 22:59:59,90,115,83,17,31,22,3,0,0,0,0,0
2020-12-20 23:00:00,2020-12-21 22:59:59,171,219,186,4,15,10,0,1,9,2,0,0
2020-12-19 23:00:00,2020-12-20 22:59:59,159,188,116,11,21,17,4,1,4,0,1,0
2020-12-18 23:00:00,2020-12-19 22:59:59,192,264,192,15,26,22,0,1,2,0,0,0
2020-12-17 23:00:00,2020-12-18 22:59:59,18,26,1,15,26,19,4,3,0,0,0,0
2020-12-16 23:00:00,2020-12-17 22:59:59,12,17,1,13,17,14,2,0,0,0,0,0
2020-12-15 23:00:00,2020-12-16 22:59:59,13,25,1,8,15,13,2,1,0,0,0,0
2020-12-14 23:00:00,2020-12-15 22:59:59,15,20,3,9,17,14,1,2,0,0,0,0
2020-12-13 23:00:00,2020-12-14 22:59:59,15,25,3,7,13,12,0,0,0,0,0,0
2020-12-12 23:00:00,2020-12-13 22:59:59,11,17,1,4,10,9,0,3,0,0,0,0
2020-12-11 23:00:00,2020-12-12 22:59:59,18,23,3,10,16,15,2,1,0,0,0,0
2020-12-10 23:00:00,2020-12-11 22:59:59,14,19,4,5,11,9,2,1,1,0,0,0
2020-12-09 23:00:00,2020-12-10 22:59:59,15,20,3,10,12,12,2,0,1,0,0,0
2020-12-08 23:00:00,2020-12-09 22:59:59,39,60,39,9,21,17,2,0,0,0,0,0
2020-12-07 23:00:00,2020-12-08 22:59:59,121,166,141,14,21,19,3,0,0,0,0,0
2020-12-06 23:00:00,2020-12-07 22:59:59,15,26,2,13,23,15,2,1,0,0,0,0
2020-12-05 23:00:00,2020-12-06 22:59:59,21,26,5,9,12,12,4,0,0,0,0,0
2020-12-04 23:00:00,2020-12-05 22:59:59,51,63,35,11,18,17,1,1,0,0,0,0
2020-12-03 23:00:00,2020-12-04 22:59:59,116,155,104,10,16,14,0,2,0,0,0,0
2020-12-02 23:00:00,2020-12-03 22:59:59,46,57,42,5,9,9,2,0,0,0,0,0
2020-12-01 23:00:00,2020-12-02 22:59:59,101,150,126,12,23,20,2,1,0,0,0,0
2020-11-30 23:00:00,2020-12-01 22:59:59,80,99,85,6,11,11,1,0,1,0,0,0
2020-11-29 23:00:00,2020-11-30 22:59:59,180,236,217,12,17,14,0,1,2,0,0,0
2020-11-28 23:00:00,2020-11-29 22:59:59,16,25,5,3,11,10,0,1,1,1,0,0
2020-11-27 23:00:00,2020-11-28 22:59:59,9,19,5,4,8,5,0,1,0,0,0,0
2020-11-26 23:00:00,2020-11-27 22:59:59,74,114,95,7,15,10,1,0,0,0,1,0
2020-11-25 23:00:00,2020-11-26 22:59:59,13,17,3,1,3,3,1,0,0,0,0,0
2020-11-24 23:00:00,2020-11-25 22:59:59,14,27,7,5,12,9,2,1,1,0,0,0
2020-11-23 23:00:00,2020-11-24 22:59:59,27,31,6,16,21,19,2,2,2,0,0,0
2020-11-22 23:00:00,2020-11-23 22:59:59,23,33,5,16,24,18,2,1,0,0,0,0
2020-11-21 23:00:00,2020-11-22 22:59:59,77,126,97,14,27,24,6,1,0,0,0,0
2020-11-20 23:00:00,2020-11-21 22:59:59,17,25,2,11,21,19,1,0,0,0,0,0
2020-11-19 23:00:00,2020-11-20 22:59:59,15,20,2,6,13,13,2,1,0,0,0,0
2020-11-18 23:00:00,2020-11-19 22:59:59,12,18,3,6,10,9,3,2,0,0,0,0
2020-11-17 23:00:00,2020-11-18 22:59:59,13,23,2,10,19,14,3,1,0,0,0,0
2020-11-16 23:00:00,2020-11-17 22:59:59,20,27,1,13,20,19,1,0,0,0,0,0
2020-11-15 23:00:00,2020-11-16 22:59:59,14,21,4,12,18,16,1,0,0,0,0,0
2020-11-14 23:00:00,2020-11-15 22:59:59,21,29,6,11,22,20,3,0,0,0,0,0
2020-11-13 23:00:00,2020-11-14 22:59:59,9,19,1,5,10,7,1,0,0,0,0,0
2020-11-12 23:00:00,2020-11-13 22:59:59,11,14,1,9,12,12,0,1,0,0,0,0
2020-11-11 23:00:00,2020-11-12 22:59:59,16,21,7,8,12,12,1,1,0,0,0,0
2020-11-10 23:00:00,2020-11-11 22:59:59,17,23,4,12,22,20,3,1,1,0,0,0
2020-11-09 23:00:00,2020-11-10 22:59:59,24,29,7,9,13,13,0,1,0,0,0,0
2020-11-08 23:00:00,2020-11-09 22:59:59,23,38,3,10,22,19,3,1,2,0,0,0
2020-11-07 23:00:00,2020-11-08 22:59:59,17,33,5,11,27,26,2,1,0,0,0,0
2020-11-06 23:00:00,2020-11-07 22:59:59,21,28,3,19,29,24,2,2,5,0,0,0
2020-11-05 23:00:00,2020-11-06 22:59:59,17,34,5,14,26,21,2,1,2,1,0,0
2020-11-04 23:00:00,2020-11-05 22:59:59,16,28,6,15,28,21,6,0,0,0,0,0
2020-11-03 23:00:00,2020-11-04 22:59:59,32,54,22,10,21,18,1,2,1,0,0,0
2020-11-02 23:00:00,2020-11-03 22:59:59,57,73,34,17,27,26,3,2,0,0,0,0
2020-11-01 23:00:00,2020-11-02 22:59:59,53,91,66,17,37,27,2,2,3,0,0,0
2020-10-31 23:00:00,2020-11-01 22:59:59,125,291,262,14,21,16,6,1,2,0,0,0
2020-10-30 23:00:00,2020-10-31 22:59:59,9,22,6,4,15,11,1,0,0,0,0,0
2020-10-29 23:00:00,2020-10-30 22:59:59,62,76,58,12,15,12,4,0,0,0,0,0
2020-10-28 23:00:00,2020-10-29 22:59:59,161,210,189,10,19,18,3,1,1,0,0,0
2020-10-27 23:00:00,2020-10-28 22:59:59,112,162,136,13,27,22,2,0,2,0,0,0
2020-10-26 23:00:00,2020-10-27 22:59:59,17,24,5,11,15,13,5,2,0,0,0,0
2020-10-25 23:00:00,2020-10-26 22:59:59,23,36,4,13,31,25,4,1,2,0,0,0
2020-10-25 00:00:00,2020-10-25 22:59:59,24,39,10,20,27,21,1,2,0,0,0,0
2020-10-24 00:00:00,2020-10-24 23:59:59,28,38,23,10,19,15,3,0,0,0,0,0
2020-10-23 00:00:00,2020-10-23 23:59:59,92,132,108,14,20,19,4,0,1,0,1,0
2020-10-22 00:00:00,2020-10-22 23:59:59,12,20,6,7,12,11,4,0,1,0,0,0
2020-10-21 00:00:00,2020-10-21 23:59:59,19,24,2,14,20,17,2,0,0,0,0,0
2020-10-20 00:00:00,2020-10-20 23:59:59,23,32,7,15,24,19,4,2,1,0,0,0
2020-10-19 00:00:00,2020-10-19 23:59:59,25,35,6,18,28,25,3,2,0,0,0,0
2020-10-18 00:00:00,2020-10-18 23:59:59,23,28,5,23,27,19,1,4,0,0,0,0
